"SourceFile","AtlasPage","CellIndex","Row","Column","Width","Height","SHA256","CanonicalVisualSource","ExactDuplicate"
"579.png","10","7","1","7","32","32","DE4F576B7161544F9402283B272E7A5CB517BE150A3C9F7BCBB9864012AC9461","579.png","False"
"580.png","10","8","1","8","32","32","64B6EDDFEA0FDBEBD5F29B33648D7EBF2D83354167FB86AC97D66D688154DA54","580.png","False"
"581.png","10","9","2","1","32","32","4D51D63F6FB685C68FEF39CB725E7F9F80CE885F7331DABF1D0FDF7F65224CAD","265.png","True"
"582.png","10","10","2","2","32","32","FD7B74DA7F8C0CAE9C2D9FC6669E94350F4C1519413F1F670A5D6E99F5E68EB1","516.png","True"
"583.png","10","11","2","3","32","32","1A6597497E097207CE228BE53A371BC6DBFAD83B7E6A5E130E3910B91647C3E4","583.png","False"
"584.png","10","12","2","4","32","32","E70BADFD4A506A2895A5AE80ED04630CE9B0B21BF03775CA679B8C4606E8995C","584.png","False"
"585.png","10","13","2","5","32","32","AFDAF6FBED6457ECEEB27651EF55DCF8EB9902F8C5B98924A94B23082EB3462A","585.png","False"
"586.png","10","14","2","6","32","32","BDAE80D00CA7E799D6F75C5969358A196339C36274DFD1E131AB3D7657618575","586.png","False"
"587.png","10","15","2","7","32","32","BEAFB6BB5A9ABB2B02A49BD2AA779614CEA08FA093D518E93D98F9BF3BE11EF6","587.png","False"
"588.png","10","16","2","8","32","32","14DEFD3FD7A2A6009D4B0127F6CD8FDEB93508EADF3967FF7A3B5DF45CC5F90A","588.png","False"
"589.png","10","17","3","1","32","32","4265A4E5D3614AEFEC9F2C8122A3B6A750F6275FF51C9391C20B434CBD114E55","589.png","False"
"590.png","10","18","3","2","32","32","7564D820441EFF070349596CE1E9BD8FB9E3FD4BBF22A3DF6EBB4F2493E0A413","590.png","False"
"591.png","10","19","3","3","32","32","9587CB2493AA89256525CDC894F224E9E1AAD1D98AD63CE06460F491CE16543C","591.png","False"
"592.png","10","20","3","4","32","32","FE4111E9C7032F618F4EE149EE304C5A6B38DFE5412A48AAB6B9278A0D65B0D9","592.png","False"
"593.png","10","21","3","5","32","32","A49C2CFA8D53362F17CC86F8C0488ABEF9757FCEB96058046C22A235F7F46ECC","593.png","False"
"594.png","10","22","3","6","32","32","BF1BDBF33FB04F45ABDEC8E043D3BAD26566D72F5868D4BC446732D17808EE7E","594.png","False"
"595.png","10","23","3","7","32","32","CA4C5C93188959F6E189AB053D972DD893665EE2EA97E160797E04A2671C6C39","595.png","False"
"596.png","10","24","3","8","32","32","687FC0563D70C6572CE937968A73C9F28C629C7D525DD85B58A351F26596C5F6","596.png","False"
"597.png","10","25","4","1","32","32","695575BC01425043626D1536EC889B1F5D2559294630A569C0A0FB27DE4958F3","597.png","False"
"598.png","10","26","4","2","32","32","6CB3F5896C5EFD7EF087F1120561ACE182408A41154BFA0625A2506C6E29AA5C","598.png","False"
"599.png","10","27","4","3","32","32","DD3DDC8D8AA63EB8509FCE7B3C6A25EFFEFD09AB6AACB727AE842D4E8BCDB2E2","599.png","False"
"600.png","10","28","4","4","32","32","C580DE5A47A305E208044E48CD83115F8CBBBEB790EFA61E84817A33E20C06F2","600.png","False"
"601.png","10","29","4","5","32","32","FD7B74DA7F8C0CAE9C2D9FC6669E94350F4C1519413F1F670A5D6E99F5E68EB1","516.png","True"
"602.png","10","30","4","6","32","32","829C022D048A7F5C7BDF7ACA7E27A9E1BA0A81D2A11F1684CCB772885168A8D3","602.png","False"
"603.png","10","31","4","7","32","32","5622E650FFACE451C8AA1936950DF5A1639262C77B71968B3582D16D76A6D4E6","603.png","False"
"604.png","10","32","4","8","32","32","251CC33A1567F9F22068F00C68332A8C1F473345FA27BB65B8958C663E38CC04","604.png","False"
"605.png","10","33","5","1","32","32","B507CC96E8759A503B2E8E3EE481ADC9575924193A4AE469B0C515995207A072","605.png","False"
"606.png","10","34","5","2","32","32","0939E860816FB7EB16F78EE71C271FC88E78CC0EE780D77A8CCA17B6A57969CA","606.png","False"
"607.png","10","35","5","3","32","32","2D851AB4CF2A3F0F083463E6967F6734403295BA06E87403140B25758731A399","403.png","True"
"608.png","10","36","5","4","32","32","6A9D254AA339D2E8C73961BCCA84F9D6E4354E999F148BE2365EB40107DF0D17","608.png","False"
"609.png","10","37","5","5","32","32","3911FC2DED39468FEE8BFBE920A9A38BDF3CC933A884194269A62DC043CB9153","609.png","False"
"610.png","10","38","5","6","32","32","83939A55AB5642C6127066522B95EB72562E0198F475454894940E942A31051A","610.png","False"
"611.png","10","39","5","7","32","32","543BC2E955D218FE117BA452F5E49869F885DCF801C0E0FF622EF79D244C47AF","568.png","True"
"612.png","10","40","5","8","32","32","B0D91D6EC7043E93949AB62374D7BA47C9E55239E1D2A00B64D1FEEA00ED2DF4","476.png","True"
"613.png","10","41","6","1","32","32","8CCC7DF18DE35614158FFE2D70311B2B6256AF22B1517F7CDA3236E30CB53A4A","613.png","False"
"614.png","10","42","6","2","32","32","884A8014CF157DD1EAAB93E667B098E8C857830FEFC36495D10DA37D7E01D75B","614.png","False"
"615.png","10","43","6","3","32","32","2805135DB71E90B0B301F85986B0F571AB15AD461C6FF8E41E15016F3F643A66","615.png","False"
"616.png","10","44","6","4","32","32","1A1E20E04A241437473BC7C6522CF621BC86A1F6A313BE4B3E1FAF986FD9E8A5","578.png","True"
"617.png","10","45","6","5","32","32","2C38E708828F13B4E395D9B0CA28679CF3CD3DFA308D34959388216916588562","515.png","True"
"618.png","10","46","6","6","32","32","5A945A84D1AD6CE2E71675ABB0C10CA8766F51B0177A5405594DDF0FF6EBB0FB","618.png","False"
"619.png","10","47","6","7","32","32","B872B9360DEBF159DD251558868A77F2BACFA07109C8B0B5895E76ECED774C3E","619.png","False"
"620.png","10","48","6","8","32","32","7F8E0EA875274ABE99088A3F1249B10FDC892438CB9EEEC5EA62F7133219A59A","620.png","False"
"621.png","10","49","7","1","32","32","057EAE83726D78BB416F380AC5D48D19E0C5ED8460A3BE7F2B7412770EA2FE16","621.png","False"
"622.png","10","50","7","2","32","32","C10DCD6C1331C1F36545A5B62B8FDF1823CD69F0A1E28CC3E00914FA26A2CBF6","283.png","True"
"623.png","10","51","7","3","32","32","B9A76028C5B30A7B91CEE0605F77FA70A2D2AD8E27050DD712B13BF6E9816CFE","623.png","False"
"624.png","10","52","7","4","32","32","BDC1A8C52175E0CDF2AD7576E1E7B818ECCB732AEC1AFF5B85DAF5156E85168C","624.png","False"
"625.png","10","53","7","5","32","32","3B23E7CB5CB8151E0EE51277C62C38CE041D490C04AF6F23579C4FC27035760D","625.png","False"
"626.png","10","54","7","6","32","32","C4DE26C8F6067A9AF88F658331BB19D80B80C6F5AFCF921C69383BBE82EFFCF7","626.png","False"
"627.png","10","55","7","7","32","32","B151C2D0F4931A0C99BEE7CA207EC5F0438DA5A0435692FBA293E0A62FF7F1E3","627.png","False"
"628.png","10","56","7","8","32","32","D119842DB8BF786E0103F41D2C7A67F6A80F4E74098513C5210BFBB97C232B4D","628.png","False"
"629.png","10","57","8","1","32","32","F4B80086D7050808B60158E9EC8D9D80A36C063220D094C0372BF1B2B2513A24","474.png","True"
"630.png","10","58","8","2","32","32","EAEA7C85A36313519BF1FAF880E54ED37E9A5672C0805AC6DA3D795A7DFBB6D7","630.png","False"
"631.png","10","59","8","3","32","32","43C39FAA7BF1269B2A2FAC57600DEEC7F730D1B608FDBFA07D1376F634DA1037","631.png","False"
"632.png","10","60","8","4","32","32","23484B76C10069229A90446FFCB114D64047C24B15121E2497AC9E95A0CFF061","632.png","False"
"633.png","10","61","8","5","32","32","23484B76C10069229A90446FFCB114D64047C24B15121E2497AC9E95A0CFF061","632.png","True"
"634.png","10","62","8","6","32","32","23484B76C10069229A90446FFCB114D64047C24B15121E2497AC9E95A0CFF061","632.png","True"
"635.png","10","63","8","7","32","32","23484B76C10069229A90446FFCB114D64047C24B15121E2497AC9E95A0CFF061","632.png","True"
"636.png","10","64","8","8","32","32","23484B76C10069229A90446FFCB114D64047C24B15121E2497AC9E95A0CFF061","632.png","True"
"637.png","11","1","1","1","32","32","23484B76C10069229A90446FFCB114D64047C24B15121E2497AC9E95A0CFF061","632.png","True"
"638.png","11","2","1","2","32","32","23484B76C10069229A90446FFCB114D64047C24B15121E2497AC9E95A0CFF061","632.png","True"
"639.png","11","3","1","3","32","32","23484B76C10069229A90446FFCB114D64047C24B15121E2497AC9E95A0CFF061","632.png","True"
"700.png","11","4","1","4","32","32","B01DBD4003A4F9A797FB2BDB11AF8BB7F315504F83FB36B7412CB4290BC1702B","700.png","False"
